Game Turn, Player, Belief, Score
60, 1, BELIEF_DANCE_OF_THE_AURORA, 0.0
60, 1, BELIEF_DESERT_FOLKLORE, -1.0
60, 1, BELIEF_SACRED_PATH, -1.0
60, 1, BELIEF_RIVER_GODDESS, 0.0
60, 1, BELIEF_MONUMENT_TO_THE_GODS, -1.0
60, 1, BELIEF_DIVINE_SPARK, 0.0
60, 1, BELIEF_LADY_OF_THE_REEDS_AND_MARSHES, -1.0
60, 1, BELIEF_GOD_OF_THE_SEA, 0.0
60, 1, BELIEF_GOD_OF_THE_OPEN_SKY, 0.0
60, 1, BELIEF_GODDESS_OF_THE_HUNT, 0.0
60, 1, BELIEF_STONE_CIRCLES, 0.0
60, 1, BELIEF_RELIGIOUS_IDOLS, 0.0
60, 1, BELIEF_GOD_OF_CRAFTSMEN, 0.0
60, 1, BELIEF_GODDESS_OF_FESTIVALS, 0.0
60, 1, BELIEF_ORAL_TRADITION, 0.0
60, 1, BELIEF_GOD_OF_THE_FORGE, -1.0
60, 1, BELIEF_INITIATION_RITES, 0.0
60, 1, BELIEF_GOD_OF_HEALING, 0.0
60, 1, BELIEF_GOD_OF_WAR, 0.0
60, 1, BELIEF_FERTILITY_RITES, -1.0
60, 1, BELIEF_RELIGIOUS_SETTLEMENTS, -1.0
60, 1, BELIEF_GODDESS_OF_THE_HARVEST, -1.0
60, 1, BELIEF_CITY_PATRON_GODDESS, 0.0
60, 1, BELIEF_EARTH_GODDESS, 558.0
60, 1, BELIEF_DIVINE_INSPIRATION, 0.0
60, 1, BELIEF_FEED_THE_WORLD, 0.0
60, 1, BELIEF_JESUIT_EDUCATION, 0.0
60, 1, BELIEF_RELIQUARIES, 0.0
60, 1, BELIEF_RELIGIOUS_COMMUNITY, 0.0
60, 1, BELIEF_WORK_ETHIC, 0.0
60, 1, BELIEF_ZEN_MEDITATION, 0.0
60, 1, BELIEF_CHORAL_MUSIC, 0.0
60, 1, BELIEF_WARRIOR_MONKS, 0.0
60, 1, BELIEF_CATHEDRAL, 405.0
60, 1, BELIEF_GURDWARA, 437.0
60, 1, BELIEF_MEETING_HOUSE, 461.0
60, 1, BELIEF_MOSQUE, 312.0
60, 1, BELIEF_PAGODA, 474.0
60, 1, BELIEF_SYNAGOGUE, 480.0
60, 1, BELIEF_WAT, 446.0
60, 1, BELIEF_STUPA, 484.0
60, 1, BELIEF_DAR_E_MEHR, 312.0
60, 1, BELIEF_CHURCH_PROPERTY, 0.0
60, 1, BELIEF_LAY_MINISTRY, 0.0
60, 1, BELIEF_PAPAL_PRIMACY, 0.0
60, 1, BELIEF_PILGRIMAGE, 0.0
60, 1, BELIEF_STEWARDSHIP, 0.0
60, 1, BELIEF_TITHE, 0.0
60, 1, BELIEF_WORLD_CHURCH, 0.0
60, 1, BELIEF_CROSS_CULTURAL_DIALOGUE, 0.0
60, 1, BELIEF_RELIGIOUS_UNITY, 0.0
60, 1, BELIEF_DEFENDER_OF_FAITH, 0.0
60, 1, BELIEF_HOLY_ORDER, 0.0
60, 1, BELIEF_ITINERANT_PREACHERS, 0.0
60, 1, BELIEF_JUST_WAR, 0.0
60, 1, BELIEF_MISSIONARY_ZEAL, 153.0
60, 1, BELIEF_MONASTIC_ISOLATION, 0.0
60, 1, BELIEF_SCRIPTURE, 0.0
60, 1, BELIEF_BURIAL_GROUNDS, 0.0
60, 1, BELIEF_RELIGIOUS_COLONIZATION, 0.0
60, 2, BELIEF_DANCE_OF_THE_AURORA, 0.0
60, 2, BELIEF_DESERT_FOLKLORE, -1.0
60, 2, BELIEF_SACRED_PATH, -1.0
60, 2, BELIEF_RIVER_GODDESS, 0.0
60, 2, BELIEF_MONUMENT_TO_THE_GODS, -1.0
60, 2, BELIEF_DIVINE_SPARK, 0.0
60, 2, BELIEF_LADY_OF_THE_REEDS_AND_MARSHES, -1.0
60, 2, BELIEF_GOD_OF_THE_SEA, 0.0
60, 2, BELIEF_GOD_OF_THE_OPEN_SKY, 0.0
60, 2, BELIEF_GODDESS_OF_THE_HUNT, 0.0
60, 2, BELIEF_STONE_CIRCLES, 0.0
60, 2, BELIEF_RELIGIOUS_IDOLS, 0.0
60, 2, BELIEF_GOD_OF_CRAFTSMEN, 0.0
60, 2, BELIEF_GODDESS_OF_FESTIVALS, 0.0
60, 2, BELIEF_ORAL_TRADITION, 0.0
60, 2, BELIEF_GOD_OF_THE_FORGE, -1.0
60, 2, BELIEF_INITIATION_RITES, 0.0
60, 2, BELIEF_GOD_OF_HEALING, 0.0
60, 2, BELIEF_GOD_OF_WAR, 0.0
60, 2, BELIEF_FERTILITY_RITES, -1.0
60, 2, BELIEF_RELIGIOUS_SETTLEMENTS, -1.0
60, 2, BELIEF_GODDESS_OF_THE_HARVEST, -1.0
60, 2, BELIEF_CITY_PATRON_GODDESS, 0.0
60, 2, BELIEF_EARTH_GODDESS, 434.0
60, 2, BELIEF_DIVINE_INSPIRATION, 0.0
60, 2, BELIEF_FEED_THE_WORLD, 0.0
60, 2, BELIEF_JESUIT_EDUCATION, 0.0
60, 2, BELIEF_RELIQUARIES, 0.0
60, 2, BELIEF_RELIGIOUS_COMMUNITY, 0.0
60, 2, BELIEF_WORK_ETHIC, 0.0
60, 2, BELIEF_ZEN_MEDITATION, 0.0
60, 2, BELIEF_CHORAL_MUSIC, 0.0
60, 2, BELIEF_WARRIOR_MONKS, 0.0
60, 2, BELIEF_CATHEDRAL, 443.0
60, 2, BELIEF_GURDWARA, 475.0
60, 2, BELIEF_MEETING_HOUSE, 500.0
60, 2, BELIEF_MOSQUE, 351.0
60, 2, BELIEF_PAGODA, 500.0
60, 2, BELIEF_SYNAGOGUE, 585.0
60, 2, BELIEF_WAT, 485.0
60, 2, BELIEF_STUPA, 541.0
60, 2, BELIEF_DAR_E_MEHR, 351.0
60, 2, BELIEF_CHURCH_PROPERTY, 0.0
60, 2, BELIEF_LAY_MINISTRY, 0.0
60, 2, BELIEF_PAPAL_PRIMACY, 0.0
60, 2, BELIEF_PILGRIMAGE, 0.0
60, 2, BELIEF_STEWARDSHIP, 0.0
60, 2, BELIEF_TITHE, 0.0
60, 2, BELIEF_WORLD_CHURCH, 0.0
60, 2, BELIEF_CROSS_CULTURAL_DIALOGUE, 0.0
60, 2, BELIEF_RELIGIOUS_UNITY, 0.0
60, 2, BELIEF_DEFENDER_OF_FAITH, 0.0
60, 2, BELIEF_HOLY_ORDER, 0.0
60, 2, BELIEF_ITINERANT_PREACHERS, 0.0
60, 2, BELIEF_JUST_WAR, 0.0
60, 2, BELIEF_MISSIONARY_ZEAL, 109.0
60, 2, BELIEF_MONASTIC_ISOLATION, 0.0
60, 2, BELIEF_SCRIPTURE, 0.0
60, 2, BELIEF_BURIAL_GROUNDS, 0.0
60, 2, BELIEF_RELIGIOUS_COLONIZATION, 0.0
60, 3, BELIEF_DANCE_OF_THE_AURORA, 0.0
60, 3, BELIEF_DESERT_FOLKLORE, -1.0
60, 3, BELIEF_SACRED_PATH, -1.0
60, 3, BELIEF_RIVER_GODDESS, 0.0
60, 3, BELIEF_MONUMENT_TO_THE_GODS, -1.0
60, 3, BELIEF_DIVINE_SPARK, 31.0
60, 3, BELIEF_LADY_OF_THE_REEDS_AND_MARSHES, -1.0
60, 3, BELIEF_GOD_OF_THE_SEA, 0.0
60, 3, BELIEF_GOD_OF_THE_OPEN_SKY, 0.0
60, 3, BELIEF_GODDESS_OF_THE_HUNT, 0.0
60, 3, BELIEF_STONE_CIRCLES, 0.0
60, 3, BELIEF_RELIGIOUS_IDOLS, 124.0
60, 3, BELIEF_GOD_OF_CRAFTSMEN, 0.0
60, 3, BELIEF_GODDESS_OF_FESTIVALS, 0.0
60, 3, BELIEF_ORAL_TRADITION, 0.0
60, 3, BELIEF_GOD_OF_THE_FORGE, -1.0
60, 3, BELIEF_INITIATION_RITES, 0.0
60, 3, BELIEF_GOD_OF_HEALING, 0.0
60, 3, BELIEF_GOD_OF_WAR, 0.0
60, 3, BELIEF_FERTILITY_RITES, -1.0
60, 3, BELIEF_RELIGIOUS_SETTLEMENTS, -1.0
60, 3, BELIEF_GODDESS_OF_THE_HARVEST, -1.0
60, 3, BELIEF_CITY_PATRON_GODDESS, 0.0
